MANUAL,SKILL
Data Security,Knowledge that technology that can be exploited
Operating Systems,Known File Filters (KFF)
Networking,Ladder Logic
Programming Fundamentals,language processing tools and techniques
Cyber Crime and Law,Laws Data breach disclosure laws
Cyber Crime and Law,Laws FERPA
Cyber Crime and Law,Laws FISMA
Cyber Crime and Law,Laws HIPAA
Cyber Crime and Law,Laws Sarbanes-Oxley
Cyber Crime and Law,"laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures"
Cyber Crime and Law,"laws, regulations, policies, and ethics as they relate to cybersecurity and privacy"
Software Development,Layered services design
Cyber Threats,Layering (Defense in depth)
Information Technology and Forensics,Lead and align information technology (IT) security priorities with the security strategy
Information Technology and Forensics,Lead and coordinate intelligence support to operational planning
Cyber Crime and Law,"Lead and oversee budget, staffing, and contracting"
Data Security,"Lead and oversee information security budget, staffing, and contracting"
Information Technology and Forensics,Lead efforts to promote the organization's use of knowledge management and information sharing
Cyber Threats,Lead or enable exploitation operations in support of organization objectives and target requirements
Information Technology and Forensics,leadership's Intent and objectives
Programming Fundamentals,"Learn and apply a higher order language which allows low level access, such as C "
Programming Fundamentals,Learn and program in Assembly
Education/Teaching,"learning assessment techniques (rubrics, evaluation plans, tests, quizzes)"
Education/Teaching,"learning levels (ie, Bloom’s Taxonomy of learning)"
Information Technology and Forensics,Learning Management Systems and their use in managing learning
Education/Teaching,"learning styles (eg, assimilator, auditory, kinesthetic)"
Cybersecurity Foundations,Least Astonishment (Psychological Acceptability)
Data Security,Least Privilege
Cyber Crime and Law,Legal Authorities and Ethics
Information Technology and Forensics,Legal Compliance Affidavits
Cyber Crime and Law,Legal Compliance Applicable Laws
Cyber Crime and Law,Legal Compliance Case Law
Cyber Crime and Law,Legal Compliance Chain of custody
Cyber Crime and Law,Legal Compliance How to Testify
Cyber Crime and Law,legal considerations in targeting
Cyber Crime and Law,legal governance related to admissibility (eg Rules of Evidence)
Cyber Crime and Law,Legal issues
Cyber Threats,Legal Issues associated with cyber threats
Cyber Crime and Law,legal rules of evidence and court procedure
Data Security,Legal/Privacy Issues
Cyber Threats,leverage best practices and lessons learned of external organizations and academic institutions dealing with cyber issues
Information Technology and Forensics,Liability and inadequate disclosure
Information Technology and Forensics,Liaise with regulatory and accrediting bodies
Programming Fundamentals,Limitations
Cyber Crime and Law,Limiting Access in RF
Data Mining,Link priority collection requirements to optimal assets and resources
Information Technology and Forensics,"Lists (Linked List, Double Linked List, other list types, hash tables) "
Cyber Crime and Law,Litigation services
Communication Architecture and Security,Live System Investigations
Data Mining,Live vs Static Acquisition
Networking,local area and wide area networking principles and concepts including bandwidth management
Programming Fundamentals,Log Aggregation
Analysis,Log File Analysis
Analysis,Log-file Analysis
Programming Fundamentals,"Low level programming languages (C, Assembly, etc) "
Programming Fundamentals,"low-level computer languages (eg, assembly languages, machine code)"
Information Technology and Forensics,MAC approaches Coordination
Information Technology and Forensics,MAC approaches Self-organization
Data Mining,machine learning theory and principles
Information Technology and Forensics,Maintain a common intelligence picture
Communication Architecture and Security,Maintain assured message delivery systems
Software Development,"Maintain awareness of advancements in hardware and software technologies (eg, attend training or conferences, reading) and their potential implications"
Cyber Threats,"Maintain awareness of internal and external cyber organization structures, strengths, and employments of staffing and technology"
Analysis,"Maintain awareness of target communication tools, techniques, and the characteristics of target communication networks (eg, capacity, functionality, paths, critical nodes) and their potential implications for targeting, collection, and analysis"
Cyber Crime and Law,Maintain baseline system security according to organizational policies
Cyber Crime and Law,"Maintain current knowledge of applicable federal and state privacy laws and accreditation standards, and monitor advancements in information privacy technologies to ensure organizational adaptation and compliance"
Database Systems,Maintain database management systems software
Database Systems,"maintain databases (ie, backup, restore, delete data, transaction log files, file/data compaction, integrity check, etc)"
Software Development,"Maintain deployable cyber defense audit toolkit (eg, specialized cyber defense software and hardware) to support cyber defense audit missions"
Software Development,"Maintain deployable cyber defense toolkit (eg, specialized cyber defense software/hardware) to support Incident Response Team mission"
Networking,Maintain directory replication services that enable information to replicate automatically from rear servers to forward units via optimized routing
Database Systems,Maintain incident tracking and solution database
Data Mining,"Maintain information exchanges through publish, subscribe, and alert functions that enable users to send and receive critical information as required"
Communication Architecture and Security,Maintain information systems assurance and accreditation materials
Cyber Crime and Law,"Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents specifically related to cyber defense auditing"
Cyber Threats,Maintain relationships with internal and external partners involved in cyber planning or related areas
Software Development,Maintain situational awareness and functionality of organic operational infrastructure
Cyber Threats,Maintain situational awareness of cyber-related intelligence requirements and associated tasking
Software Development,Maintain situational awareness of partner capabilities and activities
Operating Systems,Maintain situational awareness to determine if changes to the operating environment require review of the plan
Software Development,"Maintain target lists (ie, RTL, JTL, CTL, etc)"
Database Systems,"maintaining databases (ie, backup, restore, delete data, transaction log files, etc)"
Information Technology and Forensics,"maintaining directory services (eg, Microsoft Active Directory, Lightweight Directory Access Protocol (LDAP), Novell Directory Services (NDS), OpenLDAP, Access Control List (ACL),  Identities and Access Management Solutions (IAMs), Amazon Web Services (AWS) Directory Service, Apache Directory etc)"
Information Technology and Forensics,Maintenance windows and management
Programming Fundamentals,Make appropriate and secure use of library functions
Analysis,Make or Buy Analysis
Software Development,Make recommendations based on test results
Analysis,Make recommendations based on trend analysis for enhancements to software and hardware solutions to enhance customer experience
Cyber Threats,"Make recommendations regarding the selection of cost-effective security controls to mitigate risk (eg, protection of information, systems and processes)"
Data Mining,Make recommendations to guide collection in support of customer requirements
Cybersecurity Foundations,Making cybersecurity a strategic essential (part of core organizational strategy)
Intrusion Detection Systems,Malicious activity detection / forms of attack
Networking,malware
Analysis,Malware Analysis
Analysis,malware analysis and characteristics
Analysis,malware analysis concepts and methodologies
Analysis,"malware analysis tools (eg, Oily Debug, Ida Pro, PeStudio, Process Hacker, Process Monitor, ProcDot, Autoruns, Fiddler, Wireshark, x64dbg)"
Intrusion Detection Systems,"malware with virtual machine detection (eg virtual aware malware, debugger aware malware, and unpacked malware that looks for VM-related strings in your computer’s display device, filesystem)"
Networking,"Manage accounts, network rights, and access to systems and equipment"
Information Technology and Forensics,"Manage Accreditation Packages (eg, ISO/IEC 15026-2)"
Information Technology and Forensics,"Manage and approve Accreditation Packages (eg, ISO/IEC 15026-2)"
Communication Architecture and Security,"manage Communications Security (COMSEC) material accounting, control and use procedure"
Data Security,"Manage privacy incidents and breaches in conjunction with the Privacy Officer, Chief Information Security Officer, legal counsel and the business units"
Information Technology and Forensics,"Manage system/server resources including performance, capacity, availability, serviceability, and recoverability"
Information Technology and Forensics,"Manage the compilation, cataloging, caching, distribution, and retrieval of data"
Information Technology and Forensics,"Manage the indexing/cataloguing, storage, and access of explicit organizational knowledge (eg, hard copy documents, digital files)"
Information Technology and Forensics,Manage the information technology (IT) planning process to ensure that developed solutions meet customer requirements
Operating Systems,"Manage the internal relationship with information technology (IT) process owners supporting the service, assisting with the definition and agreement of Operating Level Agreements (OLAs)"
Information Technology and Forensics,Manage the monitoring of information security data sources to maintain organizational situational awareness
Networking,"Manage the publishing of Computer Network Defense guidance (eg, TCNOs, Concept of Operations, Net Analyst Reports, NTSM, MTOs) for the enterprise constituency"
Analysis,Manage threat or target analysis of cyber defense information and production of threat information within the enterprise
Information Technology and Forensics,Managed Services
Networking,Managed vs Ad-hoc network participation
Software Development,"managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results"
Software Development,Managing memory in systems software
Software Development,Managing patch and change control
Communication Architecture and Security,Managing System Services
Software Development,"managing test assets, test resources, and test personnel to ensure effective completion of test events"
Software Development,Managing the implementation of access controls
Data Security,Map-Reduce
Programming Fundamentals,Markov Chain Monte Carlo
Information Technology and Forensics,match the appropriate knowledge repository technology for a given application or environment
Programming Fundamentals,Mathematical Logic
Analysis,"mathematics (eg logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis)"
Communication Architecture and Security,measures or indicators of system performance and availability
Programming Fundamentals,Measuring the effectiveness of a security program (metrics)
Communication Architecture and Security,"media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media"
Information Technology and Forensics,Membership Management Authentication Hash Tables
Information Technology and Forensics,"Memory (real, virtual, and management) "
Information Technology and Forensics,Memory management in virtual environments
Information Technology and Forensics,"Memory Management, Virtual Memory "
Data Mining,Metadata
Intrusion Detection Systems,methods and techniques used to detect various exploitation activities
Data Mining,methods for ascertaining collection asset posture and availability
Data Security,methods to integrate and summarize information from any potential sources
Cyber Threats,Microcode vulnerabilities
Communication Architecture and Security,Microcontroller/embedded processor architectures
Information Technology and Forensics,microprocessors
Information Technology and Forensics,"middleware (eg, enterprise service bus and message queuing)"
Data Mining,"midpoint collection (process, objectives, organization, targets, etc)"
Information Technology and Forensics,Migration and snapshots
Cyber Threats,mimicking threat behaviors
Software Development,Minimization of implementation (Least Common Mechanism)
Cybersecurity Foundations,Minimize Trust Surface(Reluctance to trust)
Cyber Crime and Law,Misappropriation of Assets
Intrusion Detection Systems,Misuse Detection (Signature Detection)
Data Security,Mitigate effects of a use or disclosure of personal information by employees or business partners
Cyber Threats,Mitigate/correct security deficiencies identified during security/certification testing and/or recommend risk acceptance for the appropriate senior leader or authorized representative
Information Technology and Forensics,Mitigation strategies
Communication Architecture and Security,"mobile cellular communications architecture (eg, LTE, CDMA, GSM/EDGE and UMTS/HSPA)"
Communication Architecture and Security,mobile communications architecture
Analysis,"Mobile Device Analysis (eg smart phones, tablets) "
Software Development,Mobile Security
Software Development,Mobile Use of SS7
Cyber Crime and Law,Models of ICS systems (time driven vs event driven) International Laws
Software Development,Modes and appropriate uses
Education/Teaching,"modes of learning (eg, rote learning, observation)"
Software Development,"Modify and maintain existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance"
Data Mining,Modify collection requirements as necessary
Programming Fundamentals,Modularity
Cyber Crime and Law,Money Laundering
Cyber Crime and Law,monitor advancements in information privacy laws to ensure organizational adaptation and compliance
Data Security,Monitor advancements in information privacy technologies to ensure organization adoption and compliance
Data Security,monitor advancements in information privacy technologies to ensure organizational adaptation and compliance
Cyber Crime and Law,"monitor and assess the potential impact of emerging technologies on laws, regulations, and/or policies"
Information Technology and Forensics,"Monitor and evaluate a system's compliance with information technology (IT) security, resilience, and dependability requirements"
Cyber Threats,Monitor and evaluate integrated cyber operations to identify opportunities to meet organization objectives
Cybersecurity Foundations,Monitor and evaluate the effectiveness of the enterprise's cybersecurity safeguards to ensure that they provide the intended level of protection
Database Systems,Monitor and maintain databases to ensure optimal performance
Communication Architecture and Security,Monitor and maintain system/server configuration
Cyber Threats,"Monitor and report changes in threat dispositions, activities, tactics, capabilities, objectives, etc as related to designated cyber operations warning problem sets"
Communication Architecture and Security,Monitor and report client-level computer system performance
Cyber Threats,Monitor and report on validated threat activities
Information Technology and Forensics,Monitor and report the usage of knowledge management assets and resources
Communication Architecture and Security,Monitor changes to a system and its environment of operation
Data Mining,Monitor completion of reallocated collection efforts
Cyber Threats,"Monitor external data sources (eg, cyber defense vendor sites, Computer Emergency Response Teams, Security Focus) to maintain currency of cyber defense threat condition and determine which security issues may have an impact on the enterprise"
Communication Architecture and Security,monitor measures or indicators of system performance and availability
Networking,Monitor network capacity and performance
Networking,Monitor open source websites for hostile content directed towards organizational or partner interests
Analysis,Monitor operational environment and report on adversarial activities which fulfill leadership’s priority information requirements
Communication Architecture and Security,"Monitor operational status and effectiveness of the processing, exploitation and dissemination architecture"
Communication Architecture and Security,monitor system operations and react to events in response to triggers and/or observation of trends or unusual activity
Data Security,Monitor systems development and operations for security and privacy compliance
Networking,Monitor target networks to provide indications and warning of target communications changes or processing failures
Cyber Threats,Monitor the operational environment for potential factors and risks to the collection operation management process
Cyber Crime and Law,"Monitor the rigorous application of cyber policies, principles, and practices in the delivery of planning and management services"
Networking,monitor traffic flows across the network
Software Development,Monitoring and logging systems software
Communication Architecture and Security,monitoring and optimizing system/server performance
Information Technology and Forensics,Motivations and Techniques
Networking,MPLS
Communication Architecture and Security,multi-level security systems and cross domain solutions
Communication Architecture and Security,"Multi-User Communication Access Techniques CDMA, TDMA, FDMA, SDMA, PDMA"
Networking,Multicasting
Education/Teaching,multiple cognitive domains and tools and methods applicable for learning in each domain
Information Technology and Forensics,Must include hands-on activities using devices mentioned above
Operating Systems,N-tiered typologies (eg including server and client operating systems)
Data Mining,Naive Bayes
Networking,navigating network visualization software
Data Security,negotiating vendor agreements and evaluating vendor privacy practices
Networking,"network access, identity, and access management (eg, public key infrastructure, Oauth, OpenID, SAML, SPML)"
Networking,network administration
Analysis,network analysis tools used to identify software communications vulnerabilities
Analysis,Network Analysis/Troubleshooting Netflow
Networking,"Network Applications and protocols introduction (SMTP, HTTP, VoIP, SSH, etc) "
Networking,"network architecture concepts including topology, protocols, and components"
Networking,Network Architecture Hierarchical
Networking,Network Architecture Mesh
Networking,Network Architecture Structured
Networking,"Network Architectures and topologies (PAN, LAN/WAN, DMZ, Enclaves, VLAN, NAT,
subnetting, supernetting) "
Networking,Network Configuration (port security)
Networking,network construction and topology
Networking,Network defense/monitoring tools: DMZs / Proxy Servers
Networking,Network defense/monitoring tools: Honeypots and Honeynets
Networking,Network defense/monitoring tools: Implementing Firewalls
Networking,Network defense/monitoring tools: Implementing IDS/IPS
Networking,Network defense/monitoring tools: VPNs
Networking,"network design processes, to include understanding of security objectives, operational objectives, and trade-offs"
Networking,network hardware devices and functions
Networking,Network mapping (enumeration and identification of network components)
Networking,network mapping and recreating network topologies
Networking,"Network media (wired, optical, and wireless) "
Networking,Network naming DNS
Networking,Network naming NetBIOS
Networking,Network Operations Network Security Monitoring
Analysis,Network Operations Network Traffic Analysis
Networking,"Network Protocols introduction (IP, TCP, UDP, ICMP) "
Networking,"network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services"
Networking,"network security (eg, encryption, firewalls, authentication, honey pots, perimeter protection)"
Networking,"network security architecture concepts including topology, protocols, components, and principles (eg, application of defense-in-depth)"
Networking,"Network Security Components (Data Loss Prevention, VPNs / Firewalls) "
Networking,"network security implementations (eg, host-based IDS, IPS, access control lists), including their function and placement in a network"
Networking,Network security policies as they relate to network defense/security: Network Access Control (internal and external)
Networking,Network security policies as they relate to network defense/security: Network Policy Development and Enforcement
Intrusion Detection Systems,Network Services
Networking,network services and protocols interactions that provide network communications
Networking,"Network Services and protocols introduction (DNS, NTP, VLAN, etc) "
Networking,Network Switching (Ethernet) ARP and RARP
Networking,Network Switching (Ethernet) Layer 2 security issues
Networking,"network systems management principles, models, methods (eg, end-to-end systems performance monitoring), and tools"
Networking,"network tools (eg, ping, traceroute, nslookup)"
Networking,network topology
Analysis,"network traffic analysis (tools, methodologies, processes)"
Analysis,network traffic analysis methods
Intrusion Detection Systems,Network-based Intrusion Detection and Prevention Stealth mode
Networking,"Networking (RS232/485, ZIGBEE, 900MHz, BlueTooth, X25) "
Networking,"networking and Internet communications fundamentals (ie devices, device configuration, hardware, software, applications, ports/protocols, addressing, network architecture and infrastructure, routing, operating systems, etc)"
Networking,Networking in virtual environments
Networking,Networking models (OSI and IP)
Networking,networking protocols
Networking,"Networks (Internet, LANs, wireless) "
Information Technology and Forensics,new and emerging information technology (IT) and cybersecurity technologies
Cybersecurity Foundations,NIST 800-53 FDA 21 CFR part 820/806
Cybersecurity Foundations,NIST 800-53 Rainbow Series
Cyber Threats,NIST Risk Management Framework (SP800-37)
Data Mining,non-traditional collection methodologies
Disaster Management,"Notify designated managers, cyber incident responders, and cybersecurity service provider team members of suspected cyber incidents and articulate the event's history, status, and potential impact for further action in accordance with the organization's cyber incident response plan"
Programming Fundamentals,number normalization
Programming Fundamentals,Number Theory
Programming Fundamentals,Numerical
Encryption and Cryptography,"obfuscation techniques (eg, TOR/Onion/anonymizers, VPN/VPS, encryption, renaming, packing, control flow, dummy code insertion, metadata removal, anti-debug)"
Data Mining,"objectives, situation, operational environment, and the status and disposition of internal and external partner collection capabilities available to support planning"
Programming Fundamentals,Objects
Cyber Crime and Law,Off Shore Production
Information Technology and Forensics,"one-way hash functions (eg, Secure Hash Algorithm [SHA], Message Digest Algorithm [MD5], SHA-1, RIPEMD-160, Whirlpool, SHA-2, SHA-3, BLAKE2, BLAKE3)"
Disaster Management,ongoing and future operations
Software Development,Open Design
Cyber Crime and Law,Open Standards OWASP
Communication Architecture and Security,Operate and maintain automated systems for gaining and maintaining access to target systems
Networking,"operate common network tools (eg, ping, traceroute, nslookup, tracecert, ipconfig, ifconfig, netstat, PuTTY, pathping, mtr, route)"
Communication Architecture and Security,"operate different electronic communication systems and methods (eg, e-mail, VOIP, Instant Messaging (IM), web forums, Direct Video Broadcasts, websites, blogs, SMS, text messaging, phone, voicemail, Video)"
Networking,"operate network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware"
Networking,operate the organization's LAN/WAN pathways
Networking,"operating system administration (eg, account maintenance, data backups, maintain system performance, install and configure new hardware/software, manage network servers and technology tools, setup accounts and workstations, troubleshoot issues and outages, access controls, firewalls, system maintenance, install and patching, user training, documentation)"
Operating Systems,operating system command-line tools
Operating Systems,"operating system structures and internals (eg, process management, directory structure, installed applications)"
Operating Systems,"operating systems (eg, Linux, Unix, Windows, iOS, Android, ChromeOS, macOS, Ubuntu)"
Cyber Threats,operational asset constraints
Cyber Threats,operational effectiveness assessment
Cyber Threats,operational planning processes
Data Security,operations security
Programming Fundamentals,Optimization
Data Mining,Optimize mix of collection assets and resources to increase effectiveness and efficiency against essential information associated with priority intelligence requirements
Communication Architecture and Security,optimize systems to meet enterprise performance requirements
Database Systems,optimizing database performance
Data Mining,"organization and/or partner collection systems, capabilities, and processes (eg, collection and protocol processors)"
Cyber Threats,"organization cyber operations programs, strategies, and resources"
Cyber Threats,organization decision support tools and/or methods
Data Mining,"organization formats of resource and asset readiness reporting, its operational relevance and intelligence collection impact"
Cyber Crime and Law,"organization issues, objectives, and operations in cyber as well as regulations and policy directives governing cyber operations"
Data Mining,organization objectives and associated demand on collection management
Cyber Threats,"organization objectives, leadership priorities, and decision-making risks"
Networking,organization or partner exploitation of digital networks
Cyber Crime and Law,organization policies and planning concepts for partnering with internal and/or external organizations
Communication Architecture and Security,organization's enterprise information security architecture
Analysis,organization's evaluation and validation criteria
Analysis,organization's evaluation and validation requirements
Networking,organization's Local and Wide Area Network connections
Cyber Threats,organization's risk tolerance and/or risk management approach
Cyber Threats,"organizational and partner authorities, responsibilities, and contributions to achieving objectives"
Cyber Crime and Law,"organizational and partner policies, tools, capabilities, and procedures"
Cyber Threats,organizational hierarchy and cyber decision-making processes
Cyber Crime and Law,"organizational human resource policies, processes, and procedures"
Cyber Crime and Law,"organizational information technology (IT) user security policies (eg, account creation, password rules, access control)"
Cyber Threats,organizational planning concepts
Cyber Crime and Law,"organizational priorities, legal authorities and requirements submission processes"
Software Development,"organizational process improvement concepts and process maturity models (eg, Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions)"
Cyber Crime and Law,organizational security policies
Information Technology and Forensics,organizational structures and associated intelligence capabilities
Education/Teaching,"organizational training and education policies, processes, and procedures"
Education/Teaching,organizational training policies
Education/Teaching,organizational training systems
Operating Systems,OS Installation
Networking,"OSI model and underlying network protocols (eg, TCP/IP)"
Networking,OSPF
Software Development,"Other methodologies (eg, OSSTMM) "
Networking,"Outline concepts of network defense, such as: Defense in Depth"
Networking,"Outline concepts of network defense, such as: Minimizing Exposure (Attack Surface and Vectors)"
Networking,"Outline concepts of network defense, such as: Network attacks"
Networking,"Outline concepts of network defense, such as: Network Hardening"
Database Systems,"Outline different types and structures of modern database management systems and their application, such as: Distributed (Hadoop, Mongo, etc)"
Database Systems,"Outline different types and structures of modern database management systems and their application, such as: Hierarchical"
Database Systems,"Outline different types and structures of modern database management systems and their application, such as: No SQL Databases"
Database Systems,"Outline different types and structures of modern database management systems and their application, such as: Object-Based"
Database Systems,"Outline different types and structures of modern database management systems and their application, such as: Object-Oriented"
Database Systems,"Outline different types and structures of modern database management systems and their application, such as: Relational Databases"
Programming Fundamentals,Outline how calls are made in assembly
Cybersecurity Foundations,Outline of cybersecurity best practices
Information Technology and Forensics,Oversee and make recommendations regarding configuration management
Communication Architecture and Security,"Oversee installation, implementation, configuration, and support of system components"
Cyber Crime and Law,Oversee policy standards and implementation strategies to ensure procedures and guidelines comply with cybersecurity policies
Software Development,oversee the development and update of the life cycle cost estimate
Education/Teaching,Oversee the information security training and awareness program
Education/Teaching,"Oversee, direct, deliver or ensure delivery of initial privacy training and orientation to all employees, volunteers, contractors, alliances, business associates and other appropriate third parties"
Database Systems,"Overview of database security models and concerns, such as: Aggregation"
Database Systems,"Overview of database security models and concerns, such as: Data corruption"
Database Systems,"Overview of database security models and concerns, such as: Database access controls (DAC, MAC, RBAC, Clark-Wilson)"
Database Systems,"Overview of database security models and concerns, such as: Hashing and encryption"
Database Systems,"Overview of database security models and concerns, such as: Inference"
Database Systems,"Overview of database security models and concerns, such as: Injection"
Database Systems,"Overview of database security models and concerns, such as: Unauthorized access"
Database Systems,Overview of database types with advantages and disadvantages Distributed
Database Systems,Overview of database types with advantages and disadvantages Flat
Database Systems,Overview of database types with advantages and disadvantages Hierarchical
Database Systems,Overview of database types with advantages and disadvantages Key-value
Networking,Overview of database types with advantages and disadvantages Network
Database Systems,Overview of database types with advantages and disadvantages Object-based
Database Systems,Overview of database types with advantages and disadvantages Object-Oriented
Database Systems,Overview of database types with advantages and disadvantages Relational
Networking,Overview of Network Security Issues
Analysis,"Packet Capture and Analysis (Wifi, LAN) "
Analysis,packet-level analysis
Analysis,"packet-level analysis using appropriate tools (eg, Wireshark, tcpdump, Tproxy, NetworkMiner, Fiddler, WinDump, BruteShark, OmniPeek)"
Programming Fundamentals,parallel and distributed computing concepts
Information Technology and Forensics,"participate as a member of planning teams, coordination groups, and task forces as necessary"
Cyber Threats,Participate in an information security risk assessment during the Security Assessment and Authorization process
Education/Teaching,Participate in development of training curriculum and course content
Cyber Threats,"Participate in Risk Governance process to provide security risks, mitigations, and input on other technical risk"
Data Mining,Participate in the acquisition process as necessary
Cyber Threats,"Participate in the acquisition process as necessary, following appropriate supply chain risk management practices"
Cybersecurity Foundations,Participate in the development or modification of the computer environment cybersecurity program plans and requirements
Data Security,"Participate in the implementation and ongoing compliance monitoring of all trading partner and business associate agreements, to ensure all privacy concerns, requirements and responsibilities are addressed"
Data Security,Password Standards and Requirements
Software Development,Patch Management/Software Updates
Networking,Patch network vulnerabilities to ensure that information is safeguarded against outside parties
Information Technology and Forensics,Patching
Data Security,Payment Card Industry (PCI) data security standards
Cyber Crime and Law,Payment Card Industry Data Security Standard (PCI DSS) Other Federal laws and regulations
Information Technology and Forensics,penetration testing
Software Development,"penetration testing principles, tools, and techniques"
Data Security,People and security (social engineering)
Cyber Threats,Perform an information security risk assessment
Analysis,Perform analysis for target infrastructure exploitation activities
Analysis,"Perform analysis of log files from a variety of sources (eg, individual host logs, network traffic logs, firewall logs, and intrusion detection system [IDS] logs) to identify possible threats to network security"
Information Technology and Forensics,Perform asset management/inventory of information technology (IT) resources
Database Systems,Perform backup and recovery of databases to ensure data integrity
Analysis,Perform content and/or metadata analysis to meet organization objectives
Disaster Management,"Perform cyber defense incident triage, to include determining scope, urgency, and potential impact, identifying the specific vulnerability, and making recommendations that enable expeditious remediation"
Analysis,Perform cyber defense trend analysis and reporting
Cybersecurity Foundations,Perform cybersecurity testing of developed applications and/or systems
Communication Architecture and Security,Perform developmental testing on systems under development
Analysis,"Perform dynamic analysis to boot an “image” of a drive (without necessarily having the original drive) to see the intrusion as the user may have seen it, in a native environment"
Cyber Threats,Perform event correlation using information gathered from a variety of sources within the enterprise to gain situational awareness and determine the effectiveness of an observed attack
Analysis,Perform file and registry monitoring on the running system after identifying intrusion via dynamic analysis
Analysis,Perform file signature analysis
Analysis,Perform file system forensic analysis
Programming Fundamentals,Perform foreign language and dialect identification in initial source data
Database Systems,Perform hash comparison against established database
Data Mining,"Perform initial, forensically sound collection of images and inspect to discern possible mitigation/remediation on enterprise systems"
Cyber Threats,Perform integrated quality assurance testing for security functionality and resiliency attack
Communication Architecture and Security,Perform interoperability testing on systems exchanging electronic information with other systems
Analysis,Perform needs analysis to determine opportunities for new and improved business process solutions
Networking,"perform network collection tactics, techniques, and procedures to include decryption capabilities/tools"
Data Security,Perform ongoing privacy compliance monitoring activities
Information Technology and Forensics,Perform operational testing
Analysis,Perform or support technical network analysis and mapping
Information Technology and Forensics,Perform penetration testing as required for new or updated applications
Information Technology and Forensics,Perform quality review and provide feedback on transcribed or translated materials
Analysis,"Perform real-time cyber defense incident handling (eg, forensic collections, intrusion correlation and tracking, threat analysis, and direct system remediation) tasks to support deployable Incident Response Teams (IRTs)"
Analysis,"Perform real-time forensic analysis (eg, using Helix in conjunction with LiveView)"
Information Technology and Forensics,Perform repairs on faulty system/server hardware
Analysis,"Perform risk analysis (eg, threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change"
Cyber Crime and Law,"Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities"
Cyber Crime and Law,Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities
Communication Architecture and Security,Perform security reviews and identify security gaps in architecture
Communication Architecture and Security,Perform security reviews and identify security gaps in security architecture resulting in recommendations for inclusion in the risk mitigation strategy
Communication Architecture and Security,"Perform security reviews, identify gaps in security architecture, and develop a security risk management plan"
Analysis,Perform social network analysis and document as appropriate
Analysis,"Perform static analysis to mount an ""image"" of a drive (without necessarily having the original drive)"
Analysis,Perform static malware analysis
Analysis,Perform static media analysis
Networking,"Perform system administration on specialized cyber defense applications and systems (eg, antivirus, audit and remediation) or Virtual Private Network (VPN) devices, to include installation, configuration, maintenance, backup, and restoration"
Information Technology and Forensics,Perform targeting automation activities
Networking,"Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (eg, local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications)"
Analysis,"Perform tier 1, 2, and 3 malware analysis"
Analysis,Perform timeline analysis
Cyber Threats,"Perform validation steps, comparing actual results with expected results and analyze the differences to identify impact and risks"
Information Technology and Forensics,Perform virus scanning on digital media
Analysis,Perform Windows registry analysis
Data Mining,perform wireless collection procedures to include decryption capabilities/tools
Information Technology and Forensics,performance tuning tools and techniques
Information Technology and Forensics,performing damage assessments
Data Mining,performing data fusion from existing intelligence for enabling new and continued collection
Information Technology and Forensics,performing format conversions to create a standard representation of the data
Cyber Threats,performing impact/risk assessments
Analysis,performing packet-level analysis
Analysis,"performing packet-level analysis using appropriate tools (eg, Wireshark, tcpdump, SolarWinds Deep Packet Inspection and Analysis Tool, ManageEngine NetFlow Analyzer, Paessler packet Capture Tool, Omnipeek Network Protocol Analyzer, Windump, tshark)"
Analysis,performing root cause analysis
Analysis,performing sensitivity analysis
Analysis,performing target system analysis
Database Systems,"Performs configuration management, problem management, capacity management, and financial management for databases and data management systems"
Cyber Crime and Law,"Periodically revise the privacy program considering changes in laws, regulatory or company policy"
Data Security,Personal Health Information (PHI) data security standards
Data Security,Personally Identifiable Information
Data Security,Personally Identifiable Information (PII) data security standards
Information Technology and Forensics,Physical and environmental security concerns
Networking,"physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc"
Information Technology and Forensics,physical and physiological behaviors that may indicate suspicious or abnormal activity
Networking,"physical computer components and architectures, including the functions of various components and peripherals (eg, CPUs, Network Interface Cards, data storage, graphics cards, GPUs, mice, mouse, keyboard, power supply, case)"
Information Technology and Forensics,Physical Security Attributes Clear documentation
Information Technology and Forensics,Physical Security Attributes Device validation
Information Technology and Forensics,Physical Security Attributes Key backup/Protection
Information Technology and Forensics,Physical Security Attributes Open and Accepted security algorithms
Information Technology and Forensics,Physical Security Attributes Scalability
