INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL,
T0779,Disaster Management,,,Provide advice/assistance to operations and intelligence decision makers with reassignment of collection assets and resources in response to dynamic operational situations.,172
T0166,Disaster Management,,,Perform event correlation using information gathered from a variety of sources within the enterprise to gain situational awareness and determine the effectiveness of an observed attack.,185
T0306,Disaster Management,,,"Supports incident management, service-level management, change management, release management, continuity management, and availability management for databases and data management systems.",188
T0163,Disaster Management,,,"Perform cyber defense incident triage, to include determining scope, urgency, and potential impact, identifying the specific vulnerability, and making recommendations that enable expeditious remediation.",203
T0096,Disaster Management,,,"Establish relationships, if applicable, between the incident response team and other groups, both internal (e.g., legal department) and external (e.g., law enforcement agencies, vendors, public relations professionals).",219
T0130,Disaster Management,,,"Interface with external organizations (e.g., public affairs, law enforcement, Command or Component Inspector General) to ensure appropriate and accurate dissemination of incident and other Computer Network Defense information.",226
T0332,Disaster Management,,,"Notify designated managers, cyber incident responders, and cybersecurity service provider team members of suspected cyber incidents and articulate the event's history, status, and potential impact for further action in accordance with the organization's cyber incident response plan.",283
T0109,Disaster Management,,,Identify and prioritize essential system functions or sub-systems required to support essential capabilities or business functions for restoration or recovery after a system failure or during a system recovery event based on overall system requirements for continuity and availability.,285
T0051,Disaster Management,,,"Define appropriate levels of system availability based on critical system functions and ensure that system requirements identify appropriate disaster recovery and continuity of operations requirements to include any appropriate fail-over/alternate site requirements, backup requirements, and material supportability requirements for system recover/restoration.",360
T0624,Education/Teaching,,,Conduct target research and analysis.,37
T0615,Education/Teaching,,,Conduct in-depth research and analysis.,39
T0367,Education/Teaching,,,Develop the goals and objectives for cyber curriculum.,54
T0495,Education/Teaching,,,"Manage Accreditation Packages (e.g., ISO/IEC 15026-2).",54
T0230,Education/Teaching,,,Support the design and execution of exercise scenarios.,55
T0882,Education/Teaching,,,Conduct on-going privacy training and awareness activities,58
T0317,Education/Teaching,,,Develop or assist in the development of course assignments.,59
T0318,Education/Teaching,,,Develop or assist in the development of course evaluations.,59
T0387,Education/Teaching,,,Review and apply cyber career field qualification standards.,60
T0352,Education/Teaching,,,Conduct learning needs assessments and identify requirements.,61
T0765,Education/Teaching,,,Provide subject matter expertise to development of exercises.,61
T0772,Education/Teaching,,,Prepare for and provide subject matter expertise to exercises.,62
T0157,Education/Teaching,,,Oversee the information security training and awareness program.,64
T0145,Education/Teaching,,,"Manage and approve Accreditation Packages (e.g., ISO/IEC 15026-2).",66
T0141,Education/Teaching,,,Maintain information systems assurance and accreditation materials.,67
T0437,Education/Teaching,,,Correlate training and learning to business or mission requirements.,68
T0450,Education/Teaching,,,Design training curriculum and course content based on requirements.,68
T0451,Education/Teaching,,,Participate in development of training curriculum and course content.,69
T0321,Education/Teaching,,,Develop or assist in the development of learning objectives and goals.,70
T0381,Education/Teaching,,,Present technical information to technical and nontechnical audiences.,70
T0319,Education/Teaching,,,Develop or assist in the development of grading and proficiency standards.,74
T0442,Education/Teaching,,,Create training courses tailored to the audience and physical environment.,74
T0836,Education/Teaching,,,Document lessons learned that convey the results of events and/or exercises.,76
T0101,Education/Teaching,,,Evaluate the effectiveness and comprehensiveness of existing training programs.,79
T0663,Education/Teaching,,,Develop munitions effectiveness assessment or operational assessment materials.,79
T0315,Education/Teaching,,,Develop and deliver technical training to educate others or meet customer needs.,80
T0322,Education/Teaching,,,Develop or assist in the development of on-the-job training materials or programs.,82
T0357,Education/Teaching,,,Create interactive learning exercises to create an effective learning environment.,82
T0030,Education/Teaching,,,Conduct interactive training exercises to create an effective learning environment.,83
T0316,Education/Teaching,,,Develop or assist in the development of computer based training modules or classes.,83
T0443,Education/Teaching,,,Deliver training courses tailored to the audience and physical/virtual environments.,84
T0583,Education/Teaching,,,Provide subject matter expertise to the development of a common operational picture.,84
T0249,Education/Teaching,,,Research current technology to understand capabilities of required system or network.,85
T0793,Education/Teaching,,,"Provide effectiveness support to designated exercises, and/or time sensitive operations.",88
T0547,Education/Teaching,,,Research and evaluate available technologies and standards to meet customer requirements.,89
T0365,Education/Teaching,,,Develop or assist in the development of training policies and protocols for cyber training.,91
T0390,Education/Teaching,,,Review/Assess cyber workforce effectiveness to adjust skill and/or qualification standards.,91
T0444,Education/Teaching,,,"Apply concepts, procedures, software, equipment, and/or technology applications to students.",92
T0585,Education/Teaching,,,Provide subject matter expertise to the development of cyber operations specific indicators.,92
T0837,Education/Teaching,,,Advise managers and operators on language and cultural issues that impact organization objectives.,98
T0320,Education/Teaching,,,"Assist in the development of individual/collective development, training, and/or remediation plans.",99
T0662,Education/Teaching,,,"Allocate collection assets based on leadership's guidance, priorities, and/or operational emphasis.",99
T0037,Education/Teaching,,,"Construct access paths to suites of information (e.g., link pages) to facilitate access by end-users.",101
T0323,Education/Teaching,,,Develop or assist in the development of written tests for measuring and assessing learner proficiency.,102
T0760,Education/Teaching,,,"Provide subject matter expertise to planning teams, coordination groups, and task forces as necessary.",102
T0841,Education/Teaching,,,Conduct all-source target research to include the use of open source materials in the target language.,102
T0535,Education/Teaching,,,Recommend revisions to curriculum and course content based on feedback from previous training sessions.,103
T0467,Education/Teaching,,,"Ensure that training meets the goals and objectives for cybersecurity training, education, or awareness.",104
T0520,Education/Teaching,,,"Plan non-classroom educational techniques and formats (e.g., video courses, mentoring, web-based courses).",106
T0764,Education/Teaching,,,Provide subject matter expertise to planning efforts with internal and external cyber operations partners.,106
T0373,Education/Teaching,,,Establish and oversee waiver processes for cyber career field entry and training qualification requirements.,108
T0073,Education/Teaching,,,Develop new or identify existing awareness and training materials that are appropriate for intended audiences.,110
T0605,Education/Teaching,,,Compile lessons learned from collection management activity's execution of organization collection objectives.,110
T0481,Education/Teaching,,,"Identify and address cyber workforce planning and management issues (e.g. recruitment, retention, and training).",112
T0761,Education/Teaching,,,Provide subject-matter expertise and support to planning/developmental forums and working groups as appropriate.,112
T0294,Education/Teaching,,,"Conduct research, analysis, and correlation across a wide variety of all source data sets (indications and warnings).",117
T1002,Education/Teaching,,,Using scores and grades to motivate and assess performance while addressing concerns to support continuous monitoring,117
T0603,Education/Teaching,,,"Communicate new developments, breakthroughs, challenges and lessons learned to leadership, and internal and external customers.",127
T0536,Education/Teaching,,,"Serve as an internal consultant and advisor in own area of expertise (e.g., technical, copyright, print media, electronic media).",129
T0528,Education/Teaching,,,"Provide input to implementation plans, standard operating procedures, maintenance documentation, and maintenance training materials",131
T0832,Education/Teaching,,,"Use feedback results (e.g., lesson learned) to identify opportunities to improve collection management efficiency and effectiveness.",132
T0813,Education/Teaching,,,"Review, approve, prioritize, and submit operational requirements for research, development, and/or acquisition of cyber capabilities.",133
T0341,Education/Teaching,,,"Advocate for adequate funding for cyber training resources, to include both internal and industry-provided courses, instructors, and related materials.",151
T0247,Education/Teaching,,,"Write instructional materials (e.g., standard operating procedures, production manual) to provide detailed guidance to relevant portion of the workforce.",153
T0345,Education/Teaching,,,"Assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction.",160
T0807,Education/Teaching,,,"Research communications trends in emerging technologies (in computer and telephony networks, satellite, cable, and wireless) in both open and classified sources.",161
T0224,Education/Teaching,,,"Review training documentation (e.g., Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions).",169
T0355,Education/Teaching,,,Coordinate with internal and external subject matter experts to ensure existing qualification standards reflect organizational functional requirements and meet industry standards.,179
T0519,Education/Teaching,,,"Plan and coordinate the delivery of classroom techniques and formats (e.g., lectures, demonstrations, interactive exercises, multimedia presentations) for the most effective learning environment.",195
T0881,Education/Teaching,,,"Oversee, direct, deliver or ensure delivery of initial privacy training and orientation to all employees, volunteers, contractors, alliances, business associates and other appropriate third parties",197
T0920,Education/Teaching,,,"Develop and maintain appropriate communications and training to promote and educate all workforce members and members of the Board regarding privacy compliance issues and requirements, and the consequences of noncompliance",222
T0380,Education/Teaching,,,"Plan instructional strategies such as lectures, demonstrations, interactive exercises, multimedia presentations, video courses, web-based courses for most effective learning environment in conjunction with educators and trainers.",229
T0534,Education/Teaching,,,"Conduct periodic reviews/revisions of course content for accuracy, completeness alignment, and currency (e.g., course content documents, lesson plans, student texts, examinations, schedules of instruction, and course descriptions).",231
T0049,Encryption and Cryptography,,,Decrypt seized data using technical means.,42
T0439,Encryption and Cryptography,,,"Detect and analyze encrypted data, stenography, alternate data streams and other forms of concealed data.",105
T0416,Encryption and Cryptography,,,Enable applications with public keying by leveraging existing public key infrastructure (PKI) libraries and incorporating certificate management and encryption functionalities when appropriate.,193
T0143,Forensics,,,Make recommendations based on test results.,43
T0274,Forensics,,,Create auditable evidence of security measures.,47
T0650,Forensics,,,Determine what technologies are used by a given target.,55
T0292,Forensics,,,Recommend computing environment vulnerability corrections.,58
T0502,Forensics,,,Monitor and report client-level computer system performance.,60
T0960,Forensics,,,Monitor changes to a system and its environment of operation.,61
T0298,Forensics,,,Reconstruct a malicious attack or activity based off network traffic.,69
T0289,Forensics,,,Utilize deployable forensics toolkit to support operations as necessary.,72
T0430,Forensics,,,Gather and preserve evidence used on the prosecution of computer crimes.,72
T0154,Forensics,,,Monitor and report the usage of knowledge management assets and resources.,74
T0902,Forensics,,,Monitor systems development and operations for security and privacy compliance,78
T0212,Forensics,,,Provide technical assistance on digital evidence matters to appropriate personnel.,82
T0216,Forensics,,,Recognize and accurately report forensic artifacts indicative of a particular operating system.,95
T0858,Forensics,,,"Identify foreign language terminology within computer programs (e.g., comments, variable names).",96
T0031,Forensics,,,Conduct interviews of victims and witnesses and conduct interviews or interrogations of suspects.,97
T0234,Forensics,,,Track audit findings and recommendations to ensure that appropriate mitigation actions are taken.,97
T0346,Forensics,,,"Assess the behavior of the individual victim, witness, or suspect as it relates to the investigation.",101
T0736,Forensics,,,Lead or enable exploitation operations in support of organization objectives and target requirements.,101
T0751,Forensics,,,Monitor open source websites for hostile content directed towards organizational or partner interests.,102
T0104,Forensics,,,Fuse computer network attack analyses with criminal and counterintelligence investigations and operations.,106
T0113,Forensics,,,Identify digital evidence for examination and analysis in such a way as to avoid unintentional alteration.,106
T0747,Forensics,,,Monitor and evaluate integrated cyber operations to identify opportunities to meet organization objectives.,107
T0112,Forensics,,,Identify data or intelligence of evidentiary value to support counterintelligence and criminal investigations.,110
T0681,Forensics,,,"Establish alternative processing, exploitation and dissemination pathways to address identified issues or problems.",115
T0683,Forensics,,,"Establish processing, exploitation and dissemination management activity using approved guidance and/or procedures.",115
T0755,Forensics,,,Monitor the operational environment for potential factors and risks to the collection operation management process.,115
T0046,Forensics,,,Correct errors by making appropriate changes and rechecking the program to ensure that desired results are produced.,116
T0532,Forensics,,,"Review forensic images and other data sources (e.g., volatile data) for recovery of potentially relevant information.",117
T0241,Forensics,,,"Use specialized equipment and techniques to catalog, document, extract, collect, package, and preserve digital evidence.",120
T0087,Forensics,,,Ensure that chain of custody is followed for all digital media acquired in accordance with the Federal Rules of Evidence.,121
T0606,Forensics,,,"Compile, integrate, and/or interpret all-source data for intelligence or vulnerability value with respect to specific targets.",126
T0188,Forensics,,,"Prepare audit reports that identify technical and procedural findings, and provide recommended remediation strategies/solutions.",128
T0953,Forensics,,,"Prepare a security assessment report documenting the issues, findings, and recommendations from the security control assessment.",128
T0505,Forensics,,,"Monitor the rigorous application of cyber policies, principles, and practices in the delivery of planning and management services.",130
T0752,Forensics,,,Monitor operational environment and report on adversarial activities which fulfill leadership’s priority information requirements.,130
T0170,Forensics,,,"Perform initial, forensically sound collection of images and inspect to discern possible mitigation/remediation on enterprise systems.",134
T0471,Forensics,,,"Document original condition of digital and/or associated evidence (e.g., via digital photographs, written reports, hash function checking).",139
T0151,Forensics,,,Monitor and evaluate the effectiveness of the enterprise's cybersecurity safeguards to ensure that they provide the intended level of protection.,145
T0876,Forensics,,,Coordinate with the Corporate Compliance Officer regarding procedures for documenting and reporting self-disclosures of any evidence of privacy violations.,155
T0965,Forensics,,,Review the security status of a system (including the effectiveness of security controls) on an ongoing basis to determine whether the risk remains acceptable.,159
T0120,Forensics,,,"Identify, collect, and seize documentary or physical evidence, to include digital media and logs associated with cyber intrusion incidents, investigations, and operations.",171
T0964,Forensics,,,Report the security status of a system (including the effectiveness of security controls) to an authorizing official on an ongoing basis in accordance with the monitoring strategy.,180
T0197,Forensics,,,"Provide an accurate technical evaluation of the software application, system, or network, documenting the security posture, capabilities, and vulnerabilities against relevant cybersecurity compliances.",201
T0205,Forensics,,,"Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials).",215
T0048,Forensics,,,"Create a forensically sound duplicate of the evidence (i.e., forensic image) that ensures the original evidence is not unintentionally modified, to use for data recovery and analysis processes. This includes, but is not limited to, hard drives, floppy diskettes, CDs, PDAs, mobile phones, GPS, and all tape formats.",315
T0924,Intrusion Detection Systems,,,Perform ongoing privacy compliance monitoring activities.,57
T0967,Intrusion Detection Systems,,,Sponsor and promote continuous monitoring within the organization.,66
T1004,Intrusion Detection Systems,,,Use continuous monitoring tools to assess risk on an ongoing basis.,67
T0805,Intrusion Detection Systems,,,Report intelligence-derived significant network events and intrusions.,70
T0290,Intrusion Detection Systems,,,"Determine tactics, techniques, and procedures (TTPs) for intrusion sets.",72
T0644,Intrusion Detection Systems,,,Detect exploits against targeted networks and hosts and react accordingly.,74
T0968,Intrusion Detection Systems,,,Assign staff as needed to appropriate continuous monitoring working groups.,75
T0969,Intrusion Detection Systems,,,Identify reporting requirements to support continuous monitoring activities.,76
T0029,Intrusion Detection Systems,,,Conduct functional and connectivity testing to ensure continuing operability.,77
T0996,Intrusion Detection Systems,,,Coordinate continuous monitoring reporting requirements across various users.,77
T0072,Intrusion Detection Systems,,,"Develop methods to monitor and measure risk, compliance, and assurance efforts.",79
T0995,Intrusion Detection Systems,,,Establish a process to provide technical help to continuous monitoring mitigators.,82
T0977,Intrusion Detection Systems,,,Establish triggers for unacceptable risk thresholds for continuous monitoring data.,83
T0992,Intrusion Detection Systems,,,Determine how the continuous monitoring results will be used in ongoing authorization.,86
T0987,Intrusion Detection Systems,,,Use the continuous monitoring tools and technologies to assess risk on an ongoing basis.,88
T1000,Intrusion Detection Systems,,,Establish continuous monitoring configuration settings issues and coordination sub-group.,89
T0998,Intrusion Detection Systems,,,Establish liaison with scoring and metrics working group to support continuous monitoring.,90
T0233,Intrusion Detection Systems,,,Track and document cyber defense incidents from initial detection through final resolution.,91
T1007,Intrusion Detection Systems,,,Review findings from the continuous monitoring program and mitigate risks on a timely basis.,92
T0993,Intrusion Detection Systems,,,Establish continuous monitoring tools and technologies access control process and procedures.,93
T0994,Intrusion Detection Systems,,,Ensure that continuous monitoring tools and technologies access control is managed adequately.,94
T0970,Intrusion Detection Systems,,,Establish scoring and grading metrics to measure effectiveness of continuous monitoring program.,96
T0985,Intrusion Detection Systems,,,Establish scoring and grading metrics to measure effectiveness of continuous monitoring program.,96
T0999,Intrusion Detection Systems,,,Establish and operate a process to manage introduction of new risk to support continuous monitoring.,100
T0295,Intrusion Detection Systems,,,Validate intrusion detection system (IDS) alerts against network traffic using packet analysis tools.,101
T1001,Intrusion Detection Systems,,,Establish continuous monitoring tools and technologies performance measurement/management requirements.,103
T0991,Intrusion Detection Systems,,,Identify reporting requirements for use in automated control assessment to support continuous monitoring.,105
T0997,Intrusion Detection Systems,,,Establish responsibilities for supporting implementation of each continuous monitoring tool or technology.,106
T0398,Intrusion Detection Systems,,,Perform file and registry monitoring on the running system after identifying intrusion via dynamic analysis.,108
T0259,Intrusion Detection Systems,,,Use cyber defense tools for continual monitoring and analysis of system activity to identify malicious activity.,112
T0981,Intrusion Detection Systems,,,Identify the continuous monitoring stakeholders and establish a process to keep them informed about the program.,112
T0986,Intrusion Detection Systems,,,Work with security managers to establish appropriate continuous monitoring reporting requirements at the system level.,118
T0982,Intrusion Detection Systems,,,Identify security oriented organization reporting requirements that are fulfilled by the continuous monitoring program.,119
T0976,Intrusion Detection Systems,,,Work with organizational officials to ensure continuous monitoring tool data provides situation awareness of risk levels.,121
T0092,Intrusion Detection Systems,,,Ensure that cybersecurity requirements are integrated into the continuity planning for that system and/or organization(s).,122
T0980,Intrusion Detection Systems,,,Designate a qualified person to be responsible for the management and implementation of the continuous monitoring program.,122
T0975,Intrusion Detection Systems,,,Work with the organizational risk analysts to ensure risk metrics are defining realistically to support continuous monitoring.,126
T0974,Intrusion Detection Systems,,,Work with organizational risk analysts to ensure that continuous monitoring reporting covers appropriate levels of the organization.,132
T0036,Intrusion Detection Systems,,,"Confirm what is known about an intrusion and discover new information, if possible, after identifying intrusion via dynamic analysis.",133
T0972,Intrusion Detection Systems,,,Use continuous monitoring scoring and grading metrics to make information security investment decisions to address persistent issues.,133
T0973,Intrusion Detection Systems,,,"Ensure that the continuous monitoring staff have the training and resources (e.g., staff and budget) needed to perform assigned duties.",135
T0438,Intrusion Detection Systems,,,"Create, edit, and manage network access control lists on specialized cyber defense systems (e.g., firewalls and intrusion prevention systems).",142
T0963,Intrusion Detection Systems,,,"Update a security plan, security assessment report, and plan of action and milestones based on the results of a continuous monitoring process.",142
T0984,Intrusion Detection Systems,,,Define triggers within the continuous monitoring program that can be used to define unacceptable risk and result in action being taken to resolve.,146
T0971,Intrusion Detection Systems,,,Determine how to integrate a continuous monitoring program into the organization’s broader information security governance structures and policies.,147
T0962,Intrusion Detection Systems,,,"Respond to risk based on the results of ongoing monitoring activities, assessment of risk, and outstanding items in a plan of action and milestones.",148
T0978,Intrusion Detection Systems,,,Work with organizational officials to establish system level reporting categories that can be used by the organization’s continuous monitoring program.,151
T0989,Intrusion Detection Systems,,,Use non-automated assessment methods where the data from the continuous monitoring tools and technologies is not yet of adequate sufficiency or quality.,152
T0988,Intrusion Detection Systems,,,Establish appropriate reporting requirements in adherence to the criteria identified in the continuous monitoring program for use in automated control assessment.,162
T0990,Intrusion Detection Systems,,,Develop processes with the external audit group on how to share information regarding the continuous monitoring program and its impact on security control assessment.,166
T0278,Intrusion Detection Systems,,,"Collect intrusion artifacts (e.g., source code, malware, Trojans) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise.",170
T0947,Intrusion Detection Systems,,,Develop a strategy for monitoring security control effectiveness; coordinate the system-level strategy with the organization and mission/business process-level monitoring strategy.,180
T0093,Intrusion Detection Systems,,,Ensure that protection and detection capabilities are acquired or developed using the IS security engineering approach and are consistent with organization-level cybersecurity architecture.,189
T0258,Intrusion Detection Systems,,,"Provide timely detection, identification, and alerting of possible attacks/intrusions, anomalous activities, and misuse activities and distinguish these incidents and events from benign activities.",197
T0432,Intrusion Detection Systems,,,"Collect and analyze intrusion artifacts (e.g., source code, malware, and system configuration) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise.",199
T0042,Intrusion Detection Systems,,,"Coordinate with Cyber Defense Analysts to manage and administer the updating of rules and signatures (e.g., intrusion detection/protection systems, antivirus, and content blacklists) for specialized cyber defense applications.",226
T1003,Intrusion Detection Systems,,,"Work with security managers (i.e., system owners, information system security managers, information system security officers, etc.) to establish appropriate reporting requirements for continuous monitoring at the system level.",226
T0514,IT Management/Services,,,Diagnose faulty system/server hardware.,39
T0237,IT Management/Services,,,Troubleshoot system hardware and software.,42
T0326,IT Management/Services,,,Employ configuration management processes.,42
T0927,IT Management/Services,,,Appoint and guide a team of IT security experts.,48
T0501,IT Management/Services,,,Monitor and maintain system/server configuration.,49
T0515,IT Management/Services,,,Perform repairs on faulty system/server hardware.,49
T0418,IT Management/Services,,,"Install, update, and troubleshoot systems/servers.",50
T0407,IT Management/Services,,,Participate in the acquisition process as necessary.,52
T0879,IT Management/Services,,,Act as a liaison to the information systems department,54
T0887,IT Management/Services,,,Provide leadership for the organization’s privacy program,57
T0828,IT Management/Services,,,Test and evaluate locally developed tools for operational use.,62
T0208,IT Management/Services,,,Provide recommendations for possible improvements and upgrades.,63
T0798,IT Management/Services,,,Provide targeting products and targeting support as designated.,63
T0797,IT Management/Services,,,Provide target recommendations which meet leadership objectives.,64
T0412,IT Management/Services,,,Conduct import/export reviews for acquiring systems and software.,65
T0829,IT Management/Services,,,Test internal developed tools and techniques against target tools.,66
T0156,IT Management/Services,,,Oversee and make recommendations regarding configuration management.,68
T0910,IT Management/Services,,,"Act as, or work with, counsel relating to business partner contracts",68
T0144,IT Management/Services,,,"Manage accounts, network rights, and access to systems and equipment.",69
T0335,IT Management/Services,,,"Build, install, configure, and test dedicated cyber defense hardware.",69
T0870,IT Management/Services,,,Serve in a leadership role for Privacy Oversight Committee activities,69
T0531,IT Management/Services,,,Troubleshoot hardware/software interface and interoperability problems.,71
T0135,IT Management/Services,,,"Lead and oversee information security budget, staffing, and contracting.",72
T0878,IT Management/Services,,,Serve as the information privacy liaison for users of technology systems,72
T0231,IT Management/Services,,,Provide support to security/certification test and evaluation activities.,73
T0269,IT Management/Services,,,Design and develop key management functions (as related to cybersecurity).,74
T0496,IT Management/Services,,,Perform asset management/inventory of information technology (IT) resources.,76
T0431,IT Management/Services,,,"Check system hardware availability, functionality, integrity, and efficiency.",77
T0223,IT Management/Services,,,Review or conduct audits of information technology (IT) programs and projects.,78
T0790,IT Management/Services,,,Provide input for targeting effectiveness assessments for leadership acceptance.,80
T0808,IT Management/Services,,,Review and comprehend organizational leadership objectives and guidance for planning.,85
T0660,IT Management/Services,,,Develop information requirements necessary for answering priority information requests.,87
T0191,IT Management/Services,,,Prepare use cases to justify the need for specific information technology (IT) solutions.,89
T0201,IT Management/Services,,,Provide guidelines for implementing developed systems to customers or installation teams.,89
T0466,IT Management/Services,,,"Develop mitigation strategies to address cost, schedule, performance, and security risks.",89
T0134,IT Management/Services,,,Lead and align information technology (IT) security priorities with the security strategy.,90
T0283,IT Management/Services,,,Collaborate with stakeholders to identify and/or develop appropriate solutions technology.,90
T0344,IT Management/Services,,,Assess all the configuration management (change configuration/release management) processes.,92
T0756,IT Management/Services,,,Operate and maintain automated systems for gaining and maintaining access to target systems.,92
T0588,IT Management/Services,,,Provide expertise to the development of measures of effectiveness and measures of performance.,94
T0339,IT Management/Services,,,Lead efforts to promote the organization's use of knowledge management and information sharing.,95
T0874,IT Management/Services,,,Provide strategic guidance to corporate officers regarding information resources and technology,95
T0281,IT Management/Services,,,Forecast ongoing service demands and ensure that security assumptions are reviewed as necessary.,96
T0897,IT Management/Services,,,"Provide leadership in the planning, design and evaluation of privacy and security related projects",98
T0875,IT Management/Services,,,Assist the Security Officer with the development and implementation of an information infrastructure,100
T0925,IT Management/Services,,,Monitor advancements in information privacy technologies to ensure organization adoption and compliance.,104
T0132,IT Management/Services,,,Interpret and/or approve security requirements relative to the capabilities of new information technologies.,108
T0115,IT Management/Services,,,Identify information technology (IT) security program implications of new technologies or technology upgrades.,110
T0276,IT Management/Services,,,"Participate in the acquisition process as necessary, following appropriate supply chain risk management practices.",114
T0983,IT Management/Services,,,Use the continuous monitoring data to make information security investment decisions to address persistent issues.,114
T1005,IT Management/Services,,,Use the continuous monitoring data to make information security investment decisions to address persistent issues.,114
T0409,IT Management/Services,,,"Troubleshoot prototype design and process issues throughout the product design, development, and pre-launch phases.",115
T0303,IT Management/Services,,,Identify and leverage the enterprise-wide version control system while designing and developing secure applications.,116
T0025,IT Management/Services,,,Communicate the value of information technology (IT) security throughout all levels of the organization stakeholders.,117
T0497,IT Management/Services,,,Manage the information technology (IT) planning process to ensure that developed solutions meet customer requirements.,118
T0263,IT Management/Services,,,Identify security requirements specific to an information technology (IT) system in all phases of the system life cycle.,120
T0539,IT Management/Services,,,"Test, evaluate, and verify hardware and/or software to determine compliance with defined specifications and requirements.",121
T0005,IT Management/Services,,,Advise appropriate senior leadership or Authorizing Official of changes affecting the organization's cybersecurity posture.,123
T0044,IT Management/Services,,,"Collaborate with stakeholders to establish the enterprise continuity of operations program, strategy, and mission assurance.",124
T0378,IT Management/Services,,,Incorporates risk-driven systems maintenance updates process to address system deficiencies (periodically and out of cycle).,124
T0356,IT Management/Services,,,Coordinate with organizational manpower stakeholders to ensure appropriate allocation and distribution of human capital assets.,127
T0002,IT Management/Services,,,"Acquire necessary resources, including financial resources, to conduct an effective enterprise continuity of operations program.",128
T0491,IT Management/Services,,,"Install and configure hardware, software, and peripheral equipment for system users in accordance with organizational standards.",128
T0150,IT Management/Services,,,"Monitor and evaluate a system's compliance with information technology (IT) security, resilience, and dependability requirements.",129
T0642,IT Management/Services,,,"Maintain awareness of internal and external cyber organization structures, strengths, and employments of staffing and technology.",129
T0337,IT Management/Services,,,"Supervise and assign work to programmers, designers, technologists and technicians, and other engineering and scientific personnel.",131
T0885,IT Management/Services,,,"Report on a periodic basis regarding the status of the privacy program to the Board, CEO or other responsible individual or committee",133
T0100,IT Management/Services,,,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration.",142
T0248,IT Management/Services,,,Promote awareness of security issues among management and ensure sound security principles are reflected in the organization's vision and goals.,144
T0277,IT Management/Services,,,"Ensure that all acquisitions, procurements, and outsourcing efforts address information security requirements consistent with organization goals.",145
T0435,IT Management/Services,,,"Conduct periodic system maintenance including cleaning (both physically and electronically), disk checks, routine reboots, data dumps, and testing.",147
T0252,IT Management/Services,,,"Conduct required reviews as appropriate within environment (e.g., Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews).",153
T0888,IT Management/Services,,,Direct and oversee privacy specialists and coordinate privacy and data security programs with senior executives globally to ensure consistency across the organization,166
T0479,IT Management/Services,,,"Employ information technology (IT) systems and digital storage media to solve, investigate, and/or prosecute cybercrimes and fraud committed against people and property.",169
T0082,IT Management/Services,,,"Document and address organization's information security, cybersecurity architecture, and systems security engineering requirements throughout the acquisition life cycle.",170
T0555,IT Management/Services,,,Document how the implementation of a new system or new interface between systems impacts the current and target environment including but not limited to security posture.,170
T0420,IT Management/Services,,,"Administer test bed(s), and test and evaluate applications, hardware infrastructure, rules/signatures, access controls, and configurations of platforms managed by service provider(s).",183
T0499,IT Management/Services,,,Mitigate/correct security deficiencies identified during security/certification testing and/or recommend risk acceptance for the appropriate senior leader or authorized representative.,184
T0379,IT Management/Services,,,"Manage the internal relationship with information technology (IT) process owners supporting the service, assisting with the definition and agreement of Operating Level Agreements (OLAs).",186
T0389,IT Management/Services,,,"Review service performance reports identifying any significant issues and variances, initiating, where necessary, corrective actions and ensuring that all outstanding issues are followed up.",190
T0904,IT Management/Services,,,Conduct periodic information privacy impact assessments and ongoing compliance monitoring activities in coordination with the organization’s other compliance and operational assessment functions,194
T0086,IT Management/Services,,,Ensure that the application of security patches for commercial products integrated into system design meet the timelines dictated by the management authority for the intended operational environment.,199
T0265,IT Management/Services,,,Assure successful implementation and functionality of security requirements and appropriate information technology (IT) policies and procedures that are consistent with the organization's mission and goals.,206
T0786,IT Management/Services,,,Provide information and assessments for the purposes of informing leadership and customers; developing and refining objectives; supporting operation planning and execution; and assessing the effects of operations.,213
T0206,IT Management/Services,,,"Provide leadership and direction to information technology (IT) personnel by ensuring that cybersecurity awareness, basics, literacy, and training are provided to operations personnel commensurate with their responsibilities.",225
T0001,IT Management/Services,,,"Acquire and manage the necessary resources, including leadership support, financial resources, and key security personnel, to support information technology (IT) security goals and objectives and reduce overall organizational risk.",231
T0340,IT Management/Services,,,"Act as a primary stakeholder in the underlying information technology (IT) operational processes and functions that support the service, provide direction and monitor all significant activities so the service is delivered successfully.",235
T0775,Networking,,,Produce network reconstructions.,32
T0940,Networking,,,Determine the boundary of a system.,35
T0081,Networking,,,Diagnose network connectivity problem.,38
T0153,Networking,,,Monitor network capacity and performance.,41
T0623,Networking,,,Conduct survey of computer and digital networks.,48
T0803,Networking,,,Reconstruct networks in diagram or report format.,49
T0126,Networking,,,"Install or replace network hubs, routers, and switches.",55
T0129,Networking,,,Integrate new systems into existing network architecture.,57
